PUBID,gender,ENROLLSTAT_2009,CV_HH_SIZE_2009,CV_HIGHEST_DEGREE_2009,marital_status_2009,BIO_CHILD_HH_2009,URBAN-RURAL_2009,income_2009,health_2009,T_2009,y_2009,ENROLLSTAT_2010,CV_HH_SIZE_2010,CV_HIGHEST_DEGREE_2010,marital_status_2010,BIO_CHILD_HH_2010,URBAN-RURAL_2010,income_2010,health_2010,T_2010,y_2010,CVC_HOURS_WK_YR_ALL_2009,CVC_HOURS_WK_YR_ALL_2010
51,1,4,2,2,3,0,1,28000,3,4,6,4,2,2,10,1,1,24000,3,4,7,2384,2152
52,1,4,7,2,3,1,1,27000,3,3,6,9,7,2,3,1,1,32000,4,3,4,2204,1656
53,2,3,5,2,2,-4,1,-2,2,6,5,3,4,2,2,-4,1,30000,2,4,4,2080,2080
54,2,5,3,3,2,2,1,8000,3,2,8,5,3,3,2,2,1,10000,3,5,7,630,1695
55,2,6,2,4,3,-4,0,31000,2,5,6,6,2,4,3,-4,0,41000,3,5,5,2080,2080
56,2,7,2,5,3,-4,1,75000,2,5,8,7,2,5,3,-4,1,75000,2,4,7,1600,2284
57,1,3,5,2,2,-4,1,-2,2,2,5,3,5,2,2,-4,1,2000,1,3,8,3880,4380
58,1,4,4,2,2,-4,1,53000,1,3,5,4,1,2,2,-4,1,62000,1,3,4,2257,2912
59,2,4,3,2,1,-4,1,43000,4,6,7,4,3,2,1,-4,1,-4,5,6,6,-3,-3
60,1,11,10,4,2,-4,1,7000,3,6,8,6,1,4,2,-4,1,4000,4,6,8,0,0
61,2,5,7,3,6,1,1,33000,2,4,6,5,5,3,8,1,1,25000,2,5,4,3102,2736
62,1,6,2,4,1,-4,1,35000,2,6,6,6,2,4,1,-4,1,36000,2,6,6,2300,1973
63,2,10,4,2,3,2,2,-4,3,4,4,10,5,2,4,2,1,-4,3,3,5,0,0
64,1,4,3,2,2,0,1,32000,1,4,6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1800,2080
65,1,5,4,3,2,-4,1,-2,1,3,5,5,4,3,2,-4,1,-2,1,3,7,670,40
66,1,7,4,7,2,-4,1,3000,3,3,6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,-4
67,1,7,3,6,2,-3,1,25000,2,6,-2,7,3,6,2,0,1,-4,3,6,7,1040,20
68,1,9,1,2,2,-4,1,-4,3,6,2,9,1,2,2,-4,1,-4,1,6,4,-3,6160
69,2,6,2,4,3,-4,1,53000,2,6,7,6,1,4,4,-4,1,52000,2,6,8,2080,2080
70,1,6,1,4,2,-4,1,-2,2,6,6,6,1,4,2,-4,1,-2,2,6,7,-3,-3
71,1,4,2,2,1,-4,1,33000,3,6,6,4,2,2,1,-4,1,38000,4,6,6,2192,2248
72,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0
73,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2340,2340
74,1,11,2,4,2,-4,1,-2,3,6,7,11,2,4,2,-4,1,-4,4,6,6,740,1360
75,1,4,6,2,2,-4,1,30000,3,6,7,4,6,2,2,-4,1,36000,1,6,8,2080,2080
76,1,3,6,2,2,-4,1,65000,1,3,10,10,6,2,2,-4,1,68000,2,4,7,2838,2272
77,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,-4
78,2,5,2,3,2,1,1,-2,2,3,6,5,2,3,2,1,1,15000,2,3,6,331,675
79,1,9,4,1,1,1,1,-2,4,6,4,4,3,1,1,1,1,5000,4,6,6,459,1140
80,1,2,5,1,2,1,1,-4,4,3,6,4,3,1,2,0,1,-4,3,3,6,0,0
81,2,1,3,0,2,-4,1,-2,1,3,8,1,3,0,2,-4,1,-2,3,6,6,1420,1115
82,1,10,1,2,2,-4,1,23000,2,6,7,10,1,4,2,-4,1,-4,2,4,6,245,1088
83,1,4,2,1,2,-4,1,-2,2,3,7,4,2,1,2,-4,1,20000,3,3,6,1412,1720
84,2,9,2,2,6,0,1,-2,2,5,8,9,1,2,6,0,1,35000,3,6,8,0,0
85,1,3,4,2,3,2,1,22000,3,1,7,3,5,2,3,2,1,20000,2,1,7,1788,2288
86,2,11,4,4,3,2,1,35000,3,6,7,11,4,4,3,2,1,37300,3,6,7,1740,1976
87,1,4,3,2,2,-4,1,20000,1,6,8,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1890,-4
88,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2444,2397
89,1,7,2,5,3,-4,1,60000,2,6,7,11,2,5,3,-4,1,59000,1,5,6,2912,2640
90,1,10,4,2,2,-4,1,25000,3,6,6,10,4,3,2,-4,1,28000,4,6,7,1883,2031
91,2,6,4,4,2,-4,1,32000,3,6,8,6,4,4,2,-4,1,38000,4,6,4,552,2384
92,1,4,4,2,2,-4,1,-4,4,6,-2,4,4,2,2,-4,1,-4,3,6,9,27,15
93,1,3,2,2,3,-4,1,25000,2,3,8,10,3,2,3,-4,0,26500,2,4,7,2320,2600
94,2,5,2,3,3,-4,1,45000,2,4,7,5,3,3,3,1,1,55000,1,4,7,2306,2636
95,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
96,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,78,-4
97,1,6,4,4,6,-4,1,56000,1,6,7,6,4,4,6,-4,1,58000,1,5,7,2080,2080
98,1,6,1,4,2,-4,1,60000,2,6,7,6,1,4,2,-4,1,57000,2,6,7,0,0
99,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
100,2,1,3,0,1,1,1,0,4,6,5,1,3,0,2,1,1,40000,3,4,7,2120,1243
101,2,-3,4,-3,1,2,1,-4,3,3,2,-3,5,-3,1,3,1,-4,2,6,6,30,1222
102,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2392,2392
103,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
104,2,6,2,4,1,-4,0,70000,4,6,7,6,5,4,3,-4,0,70000,3,6,5,3000,1015
105,1,4,3,2,3,1,0,42000,2,4,7,4,4,2,3,2,0,50000,2,6,7,2184,2172
106,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
107,2,6,1,4,2,-4,1,60000,2,6,7,11,1,4,2,-4,-4,70000,2,6,8,3320,1990
108,1,6,3,4,2,-4,1,35000,2,6,8,6,2,4,1,-4,1,47000,1,6,8,2210,2080
109,2,6,1,4,2,-4,1,46000,2,6,6,6,2,4,1,-4,1,50000,2,6,7,2375,2590
110,2,7,5,5,2,-4,0,45000,3,5,7,7,5,5,2,-4,0,54000,1,6,8,2160,2080
111,2,6,7,4,2,-4,0,-4,4,1,8,6,7,4,2,-4,0,22000,3,4,10,120,1920
112,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1820,1820
113,1,4,3,2,1,1,0,-4,2,6,6,4,3,2,2,1,0,2000,1,4,7,507,360
114,2,10,3,2,2,-4,0,35000,2,6,5,10,3,4,2,-4,0,43000,2,6,8,2550,2860
115,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2980,3120
116,1,3,4,2,2,0,1,15000,3,6,6,3,4,2,2,0,1,18000,2,4,7,1560,1630
117,1,4,4,2,2,-4,1,14000,3,6,6,4,4,2,2,-4,1,25000,2,2,6,2141,2510
118,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,225,-4
119,1,6,2,4,2,-4,1,40000,2,6,6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2340,2340
120,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2600,2200
