PUBID,GENDER,ENROLL_STAT_2010,HH_SIZE_2010,HIGHEST_DEGREE_2010,MARITAL_STAT_2010,BIO_CHILD_HH_2010,URBAN-RURAL_2010,INCOME_2010,GENERAL_HEALTH_2010,HOURS_PER_WEEK_COMPUTER_2010,HOURS_PER_NIGHT_SLEEP_2010,ENROLL_STAT_2011,HH_SIZE_2011,HIGHEST_DEGREE_2011,MARITAL_STAT_2011,BIO_CHILD_HH_2011,URBAN-RURAL_2011,INCOME_2011,GENERAL_HEALTH_2011,HOURS_PER_WEEK_COMPUTER_2011,ENROLL_STAT_2011,TOTAL_HOURS_WORKED_2010,TOTAL_HOURS_WORKED_2011
52,1,9,7,2,3,1,1,32000,4,3,4,4,3,2,3,1,1,25000,3,5,6,1656,2502
53,2,3,4,2,2,-4,1,30000,2,4,4,3,4,2,2,-4,1,26000,3,6,6,2080,2120
54,2,5,3,3,2,2,1,10000,3,5,7,5,5,3,2,2,1,25000,3,6,5,1695,2320
55,2,6,2,4,3,-4,0,41000,3,5,5,6,2,4,3,-4,0,40156,3,6,6,2080,2120
56,2,7,2,5,3,-4,1,75000,2,4,7,7,3,5,3,1,1,67000,1,4,8,2284,1978
57,1,3,5,2,2,-4,1,2000,1,3,8,3,5,2,2,-4,1,-2,3,3,1,4380,2200
58,1,4,1,2,2,-4,1,62000,1,3,4,4,1,2,2,-4,1,70000,1,4,8,2912,2968
59,2,4,3,2,1,-4,1,-4,5,6,6,4,3,2,1,-4,1,-4,3,4,6,-3,1060
60,1,6,1,4,2,-4,1,4000,4,6,8,7,7,5,2,-4,1,-4,4,6,11,0,728
61,2,5,5,3,8,1,1,25000,2,5,4,5,2,3,8,1,1,30000,4,3,4,2736,2270
62,1,6,2,4,1,-4,1,36000,2,6,6,6,2,4,1,-4,1,27000,2,6,6,1973,2512
63,2,10,5,2,4,2,1,-4,3,3,5,6,6,4,8,3,1,-4,3,4,4,0,0
64,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2080,2120
65,1,5,4,3,2,-4,1,-2,1,3,7,10,4,3,2,-4,1,-4,3,4,7,40,602
66,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
67,1,7,3,6,2,0,1,-4,3,6,7,7,3,6,2,0,1,-4,4,6,6,20,108
68,1,9,1,2,2,-4,1,-4,1,6,4,9,1,2,2,-4,1,-4,1,4,8,6160,0
69,2,6,1,4,4,-4,1,52000,2,6,8,6,1,4,4,-4,1,49000,1,6,7,2080,2120
70,1,6,1,4,2,-4,1,-2,2,6,7,6,1,4,2,-4,1,50000,2,6,6,-3,-3
71,1,4,2,2,1,-4,1,38000,4,6,6,4,1,2,2,-4,1,40000,4,4,7,2248,2468
72,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0
73,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2340,2385
74,1,11,2,4,2,-4,1,-4,4,6,6,7,2,7,2,-4,1,3000,2,6,7,1360,1035
75,1,4,6,2,2,-4,1,36000,1,6,8,4,6,2,2,-4,1,36000,2,6,6,2080,1480
76,1,10,6,2,2,-4,1,68000,2,4,7,10,6,2,2,-4,1,60000,3,4,6,2272,2453
77,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
78,2,5,2,3,2,1,1,15000,2,3,6,5,2,3,2,1,1,-4,2,1,6,675,1050
79,1,4,3,1,1,1,1,5000,4,6,6,4,3,1,1,1,1,13000,4,6,6,1140,460
80,1,4,3,1,2,0,1,-4,3,3,6,4,2,1,2,0,1,-4,4,2,7,0,0
81,2,1,3,0,2,-4,1,-2,3,6,6,1,3,0,2,-4,1,5000,3,6,6,1115,1155
82,1,10,1,4,2,-4,1,-4,2,4,6,6,2,4,1,-4,1,30000,3,6,8,1088,-3
83,1,4,2,1,2,-4,1,20000,3,3,6,4,2,1,2,-4,1,28000,2,4,6,1720,1925
84,2,9,1,2,6,0,1,35000,3,6,8,9,2,2,8,1,1,38000,2,6,6,0,0
85,1,3,5,2,3,2,1,20000,2,1,7,3,5,2,3,2,1,32000,3,4,8,2288,2404
86,2,11,4,4,3,2,1,37300,3,6,7,7,4,5,3,2,1,37000,2,6,8,1976,2014
87,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
88,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,3,2,2,-4,1,146002,1,3,7,2397,2209
89,1,11,2,5,3,-4,1,59000,1,5,6,11,2,5,3,-4,1,61000,1,6,6,2640,3150
90,1,10,4,3,2,-4,1,28000,4,6,7,10,4,3,2,-4,1,26000,2,6,7,2031,1395
91,2,6,4,4,2,-4,1,38000,4,6,4,6,4,4,2,-4,1,47000,4,6,6,2384,3028
92,1,4,4,2,2,-4,1,-4,3,6,9,4,3,2,2,-4,1,-4,3,6,8,15,0
93,1,10,3,2,3,-4,0,26500,2,4,7,4,3,2,3,-4,0,31000,1,5,8,2600,2110
94,2,5,3,3,3,1,1,55000,1,4,7,5,3,3,3,1,1,45000,1,6,5,2636,2433
95,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
96,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
97,1,6,4,4,6,-4,1,58000,1,5,7,6,4,4,8,-4,1,56000,1,4,7,2080,2090
98,1,6,1,4,2,-4,1,57000,2,6,7,6,1,4,2,-4,1,-1,3,6,6,0,0
99,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
100,2,1,3,0,2,1,1,40000,3,4,7,2,3,1,1,1,1,-2,3,4,6,1243,3030
101,2,-3,5,-3,1,3,1,-4,2,6,6,-3,5,-3,1,3,1,-2,2,5,6,1222,1616
102,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,6,1,4,2,-4,1,40000,1,6,6,2392,2438
103,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
104,2,6,5,4,3,-4,0,70000,3,6,5,6,2,4,3,-4,0,20000,4,6,7,1015,2910
105,1,4,4,2,3,2,0,50000,2,6,7,4,4,2,3,2,0,69000,2,4,5,2172,2144
106,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
107,2,11,1,4,2,-4,-4,70000,2,6,8,11,2,4,1,-4,-4,20000,2,6,8,1990,530
108,1,6,2,4,1,-4,1,47000,1,6,8,6,1,4,2,-4,1,55000,1,6,8,2080,2120
109,2,6,2,4,1,-4,1,50000,2,6,7,6,2,4,3,-4,0,55000,2,6,8,2590,2298
110,2,7,5,5,2,-4,0,54000,1,6,8,7,2,5,3,-4,0,57000,2,6,9,2080,2158
111,2,6,7,4,2,-4,0,22000,3,4,10,6,7,4,2,-4,0,-4,4,3,4,1920,0
112,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1820,1855
113,1,4,3,2,2,1,0,2000,1,4,7,4,3,2,2,1,0,20000,1,6,5,360,1570
114,2,10,3,4,2,-4,0,43000,2,6,8,6,3,4,2,-4,0,40000,2,5,8,2860,2050
115,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,1,1,2,-4,1,50000,1,6,7,3120,3180
116,1,3,4,2,2,0,1,18000,2,4,7,3,4,2,2,0,1,22000,2,3,6,1630,2168
117,1,4,4,2,2,-4,1,25000,2,2,6,4,4,2,2,-4,1,25000,3,2,6,2510,2530
118,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
119,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2340,2385
120,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2200,2770
121,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1880,2120
122,1,3,3,2,2,-4,1,26000,3,3,4,3,3,2,2,-4,1,28000,3,3,4,2080,2096
123,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
124,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
125,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
126,1,3,3,2,1,1,1,55000,4,1,0,3,3,2,1,1,1,57000,4,4,4,2281,2358
127,2,6,2,4,1,-4,1,50000,2,5,8,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2935,452
128,2,6,1,4,2,-4,1,50000,3,6,8,6,1,4,2,-4,1,53000,4,6,6,2445,2535
129,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2080,2120
130,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1720,2120
131,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
132,1,6,2,4,3,-4,1,55000,1,5,9,6,2,4,3,-4,1,59000,1,6,9,2080,1760
133,1,6,4,4,2,-4,1,130254,1,6,7,6,4,4,2,-4,1,77000,1,6,7,2590,2440
134,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
135,1,7,2,5,3,-4,1,50000,2,6,8,7,2,5,3,-4,1,53000,2,6,8,2080,1600
136,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
137,2,2,4,1,3,2,1,11000,2,3,6,2,5,1,3,3,1,15000,1,5,4,1865,2120
138,1,9,3,2,2,-4,1,-4,1,6,-2,5,3,3,2,-4,1,-4,1,6,7,0,770
139,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
140,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
141,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
142,2,4,5,2,8,1,1,42000,2,6,5,4,5,2,8,1,1,35000,2,6,7,2325,2120
143,1,10,6,2,3,3,1,48000,1,5,5,10,5,2,3,3,1,54000,2,5,7,0,0
144,1,4,5,2,2,0,1,19000,4,5,6,4,1,2,2,0,1,40000,2,4,6,1720,2120
145,1,10,4,3,2,-4,1,43000,2,6,6,10,4,3,2,-4,1,55000,2,6,4,1807,1997
146,1,3,3,2,2,-4,1,30000,2,3,6,3,3,2,2,-4,1,30000,2,3,7,2080,2120
147,2,4,1,2,2,-4,1,-4,2,-2,5,-3,1,2,2,-4,1,-4,2,4,6,-3,0
148,2,2,2,1,2,1,1,-2,3,1,7,2,2,1,2,1,1,-4,3,1,6,0,0
149,2,4,5,2,2,-4,1,-4,4,1,8,4,5,2,2,-4,1,-4,1,3,8,0,0
150,1,10,1,2,2,-4,1,4,2,1,10,4,1,2,2,-4,1,-4,3,4,6,-3,-3
151,2,4,1,2,2,-4,1,40000,1,3,6,4,1,2,2,-4,1,89000,1,4,8,-3,1544
152,1,3,3,2,2,1,1,12500,1,6,6,3,5,2,2,1,1,28000,1,4,5,1770,1755
153,2,3,7,2,2,4,1,-4,3,6,8,3,7,2,2,4,1,-4,3,4,8,0,0
154,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
155,1,6,1,4,2,-4,1,130254,1,6,6,6,1,4,2,-4,1,146002,1,6,6,3120,3145
156,1,7,1,7,2,-4,1,50000,1,6,7,7,2,7,1,-4,1,60000,1,6,7,3380,3510
157,2,6,3,4,3,1,1,49000,3,3,6,6,3,4,3,1,1,49500,4,3,7,1260,1590
158,1,6,2,4,2,-4,1,51000,2,6,4,6,2,4,2,-4,1,55000,2,6,5,2720,4392
159,2,4,8,2,3,-4,1,25000,1,6,9,4,9,2,3,1,1,25000,1,6,8,742,2380
160,2,4,3,1,1,1,1,-2,1,6,8,4,3,1,1,1,1,-2,1,4,5,2230,-3
161,1,1,1,0,2,0,1,-4,3,1,8,1,1,0,2,0,1,-4,2,1,7,0,0
162,2,10,5,4,7,-3,1,41066,2,6,5,11,5,4,7,3,1,42000,2,6,6,1924,1961
163,1,3,1,2,2,-4,1,-4,2,1,8,3,1,2,2,-4,1,-4,1,1,8,0,0
164,2,4,6,2,4,1,1,44500,2,6,6,4,5,2,8,1,1,45000,2,6,6,2040,2120
165,1,6,4,4,3,2,1,130254,2,6,7,6,5,4,3,3,1,146002,2,6,6,2346,2514
166,2,6,4,4,2,-4,1,130254,1,6,8,6,4,4,2,-4,1,92000,1,4,6,2160,2480
167,1,3,3,2,2,-4,1,-4,3,1,9,3,3,2,2,-4,1,-4,3,1,8,0,0
168,1,3,2,2,3,-4,1,-2,1,4,6,3,2,2,3,-4,1,-2,1,5,6,2135,2440
169,2,2,5,1,1,-3,1,-4,1,3,6,4,6,1,1,2,1,-4,1,5,6,0,406
170,2,4,2,2,1,-4,1,27000,3,3,7,4,1,2,2,-4,1,22000,3,6,7,1640,0
171,2,4,3,2,3,1,0,17000,3,4,6,4,3,2,3,1,1,36500,2,3,6,2080,640
172,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3120,3180
