PUBID,GENDER,ENROLL_STAT_2010,HH_SIZE_2010,HIGHEST_DEGREE_2010,MARITAL_STAT_2010,BIO_CHILD_HH_2010,URBAN-RURAL_2010,INCOME_2010,GENERAL_HEALTH_2010,HOURS_PER_WEEK_COMPUTER_2010,HOURS_PER_NIGHT_SLEEP_2010,ENROLL_STAT_2011,HH_SIZE_2011,HIGHEST_DEGREE_2011,MARITAL_STAT_2011,BIO_CHILD_HH_2011,URBAN-RURAL_2011,INCOME_2011,GENERAL_HEALTH_2011,HOURS_PER_WEEK_COMPUTER_2011,ENROLL_STAT_2011,TOTAL_HOURS_WORKED_2010,TOTAL_HOURS_WORKED_2011
894,1,10,5,2,3,3,1,84000,1,6,7,6,5,4,3,3,1,90000,1,3,9,1560,2110
895,1,9,4,2,3,2,1,28000,1,5,6,9,4,2,3,2,1,20000,2,5,5,1110,1820
896,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1664,1024
897,2,4,2,2,1,-4,1,-2,2,6,5,4,2,2,1,-4,1,16000,2,6,9,738,426
898,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2340,2385
899,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2392,2438
900,1,4,2,2,2,-4,1,25000,1,5,6,4,2,2,2,-4,1,40000,1,5,7,1820,4030
901,2,6,1,4,2,-4,1,60000,2,6,7,6,1,4,2,-4,1,60000,1,6,8,2600,2650
902,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
903,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,6,2,3,4,0,60000,3,3,5,2184,2198
904,2,1,4,0,3,2,1,-1,3,4,6,2,4,1,3,2,1,-1,3,3,6,-3,-3
905,2,1,4,0,1,2,1,-2,3,6,8,2,4,1,1,2,1,5000,3,1,7,636,420
906,2,5,3,3,8,2,1,41000,4,6,6,5,3,3,8,2,1,47000,2,6,6,2544,2960
907,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,5,0,2,1,0,20000,2,3,7,2080,2120
908,2,3,2,2,1,0,1,-4,3,3,8,3,5,2,1,0,1,-4,3,4,8,0,0
909,1,3,3,2,8,0,1,-2,1,6,4,3,3,2,8,0,1,-4,2,6,5,0,1122
910,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
911,1,11,1,4,2,-4,-4,12000,3,5,8,6,2,4,1,-4,-4,60000,2,6,8,100,1935
912,2,11,1,4,2,-4,1,-4,3,6,6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,720
913,2,5,2,3,3,-4,0,20000,3,6,9,5,2,3,3,-4,0,20000,3,4,7,1419,1627
914,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
915,2,6,2,4,2,-4,1,-2,2,6,5,6,2,4,1,-4,1,50000,2,6,7,2365,2700
916,2,10,1,4,2,-4,1,-4,1,6,6,6,2,4,1,-4,1,-4,1,6,7,0,220
917,1,11,2,4,1,-4,1,30000,2,6,8,7,2,5,3,-4,1,-4,2,6,7,0,1105
918,1,4,2,2,3,-4,1,130254,2,6,7,4,2,2,3,-4,1,146002,2,6,7,2600,2540
919,2,7,1,7,2,-4,1,-4,2,6,7,7,1,7,2,-4,1,30000,3,6,6,567,2203
920,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2080,2120
921,1,10,3,3,4,-4,1,20000,1,3,8,10,3,3,-3,-4,1,12000,1,6,8,570,1686
922,2,11,1,4,2,-4,1,53000,2,6,6,7,1,5,2,-4,1,53000,2,6,7,2160,2505
923,2,6,3,4,1,1,1,-2,2,6,8,6,4,4,1,2,1,6000,2,4,8,-3,266
924,2,6,1,4,2,-4,1,55000,3,6,6,6,2,4,2,-4,1,50000,2,6,7,2574,2703
925,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,5,4,3,3,2,1,49000,4,6,7,2080,2040
926,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2160,0
927,1,5,6,3,2,0,1,-4,2,6,5,5,5,3,2,0,1,65100,3,6,5,2080,-3
928,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2058,362
929,1,11,1,4,2,-4,1,20000,2,6,6,7,2,7,2,-4,1,40000,2,6,7,500,500
930,2,4,4,2,3,2,1,-4,2,6,7,4,4,2,3,2,1,40000,2,6,6,2080,2080
931,2,11,1,4,2,-4,1,10000,2,6,6,11,1,4,2,-4,1,30000,1,6,6,2710,3050
932,2,11,1,4,2,-4,1,25000,2,6,5,7,1,5,2,-4,1,8000,1,6,7,642,1148
933,2,7,2,5,2,-4,1,54000,2,6,7,7,2,5,2,-4,1,53600,2,6,7,3139,3140
934,2,6,3,4,2,-4,1,30500,1,6,6,6,2,4,3,-4,1,36000,1,6,7,-3,1417
935,2,11,2,4,1,-4,1,70000,2,6,6,7,2,5,1,-4,1,72000,2,6,7,2080,2120
936,1,4,1,2,2,-4,1,-4,1,6,8,4,1,2,2,-4,1,-4,1,3,8,0,0
937,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
938,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
939,2,4,2,1,3,-4,1,68000,4,6,7,4,2,1,3,-4,1,65000,2,5,6,2585,2445
940,1,9,4,3,2,-4,1,25000,3,6,7,9,3,3,2,-4,1,-4,2,6,7,120,1080
941,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
942,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,2,2,2,-4,1,8500,1,4,9,1664,736
943,1,6,4,4,2,-4,1,10000,3,6,6,6,5,4,2,-4,1,-4,4,6,5,1357,1028
944,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
945,2,4,3,2,1,1,1,60000,3,6,6,4,4,2,1,2,1,0,3,6,6,1328,1030
946,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2600,2650
947,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
948,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
949,2,11,2,4,1,-4,1,25000,2,4,5,11,2,4,1,-4,1,-4,3,6,5,1000,0
950,2,11,3,4,2,-4,1,35000,2,4,8,11,3,4,2,-4,1,-4,3,6,8,875,0
951,2,7,4,5,3,1,1,-4,1,5,8,7,5,5,3,2,1,-4,1,6,7,555,540
952,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
953,1,9,3,2,2,-4,1,-4,4,4,5,9,3,2,2,-4,1,-4,3,3,7,0,0
954,2,4,3,1,3,1,1,-2,1,2,8,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2080,2120
955,2,6,4,4,2,-4,1,-2,2,6,7,6,4,4,2,-4,1,65000,2,6,7,2160,2435
956,1,6,2,4,2,-4,1,5000,2,6,8,6,3,4,2,-4,1,27000,2,6,8,3676,2155
957,1,4,1,2,2,-4,1,-4,2,6,8,4,1,2,2,-4,1,-2,2,6,7,70,1933
958,1,6,4,4,2,-4,1,-4,4,-2,-2,6,2,4,1,-4,1,-1,4,6,7,434,-3
959,1,5,4,3,2,-4,1,30000,3,6,8,5,3,3,2,-4,1,-4,3,4,7,0,512
960,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
961,2,6,2,4,1,-4,1,75000,1,6,8,6,2,4,1,-4,1,146002,1,6,7,2080,2120
962,1,5,6,3,1,1,1,18000,1,6,6,5,6,3,3,1,1,45000,1,6,7,840,2440
963,1,4,3,2,3,-4,1,56000,2,6,8,4,2,2,3,-4,0,70000,2,6,8,2600,3695
964,2,5,4,3,2,-4,1,-2,2,4,9,9,2,3,2,-4,1,-2,2,4,8,1508,1212
965,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
966,2,4,3,2,1,-4,1,-2,2,3,7,4,3,2,1,-4,1,17000,2,6,7,1300,927
967,2,11,3,4,2,-4,1,60000,1,3,8,6,3,4,2,-4,1,57000,2,3,6,2960,3041
968,1,6,6,4,3,-4,1,-1,1,6,7,6,2,4,3,-4,1,-1,1,6,8,2080,2120
969,2,11,4,4,2,-4,1,32000,3,6,7,11,2,4,1,-4,1,42000,3,6,7,2080,1085
970,1,6,4,4,2,-4,1,40000,3,6,6,6,2,4,2,-4,1,40000,2,6,7,1820,1054
971,2,6,4,4,2,-4,1,5000,1,6,8,6,4,4,2,-4,1,38000,1,6,8,2080,2120
972,1,11,1,4,2,-4,1,-4,1,6,7,11,1,4,2,-4,1,10000,1,5,7,0,0
973,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-3,-3
974,1,6,2,4,1,-4,-4,12000,2,6,8,11,1,4,2,-4,1,7000,2,6,7,1080,0
975,1,4,4,2,3,2,1,56000,3,6,6,4,4,2,3,2,1,55000,3,5,7,2080,2120
976,1,5,4,3,3,2,1,42000,1,5,7,5,4,3,3,2,1,6200,1,6,7,3346,3903
977,1,7,1,5,2,-4,1,130254,1,6,6,7,1,5,2,-4,1,146002,1,6,6,2990,2255
978,1,6,4,4,2,-4,1,70000,2,6,6,6,3,4,2,-4,1,75000,2,6,7,2080,2760
979,2,6,2,4,2,-4,1,130254,1,6,7,6,2,4,2,-4,1,146002,1,6,7,2080,2120
980,1,6,2,4,1,-4,1,75000,2,6,8,6,2,4,1,-4,1,83000,3,6,8,2100,2715
981,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,1,1,2,-4,1,36000,3,6,7,2236,2279
982,1,6,2,4,1,-4,1,50000,3,6,6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0
983,2,4,4,2,3,2,1,26000,2,6,8,4,5,2,3,3,1,25000,2,6,7,2120,2330
984,2,6,2,4,3,-4,1,-2,2,6,6,6,3,4,3,1,1,74000,3,6,6,2080,2120
985,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
986,2,4,3,2,7,1,1,38000,2,5,7,4,3,2,7,1,1,-2,3,6,4,40,1720
987,1,4,2,2,3,-4,1,60000,2,6,7,4,2,2,3,-4,1,146002,2,6,7,4368,3994
988,2,6,1,4,2,-4,1,46000,1,6,7,10,1,4,2,-4,1,48000,1,6,7,2156,2293
989,2,4,5,2,2,-4,1,-2,2,6,7,4,3,2,2,-4,0,-2,2,3,7,1832,1263
990,1,3,1,2,2,-4,1,63000,4,6,6,3,1,2,2,-4,1,60000,2,3,5,2255,0
991,1,4,2,2,2,-4,1,32000,2,5,8,4,2,2,2,-4,1,25000,2,5,6,1520,0
992,2,4,6,2,3,4,1,-4,3,1,8,4,6,2,3,4,1,-4,4,5,5,0,1440
993,2,4,3,1,1,1,1,40000,2,4,6,4,3,1,1,1,0,45000,2,6,7,1540,1956
994,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2860,2915
995,2,3,2,2,2,-4,1,20000,2,6,8,3,2,2,2,-4,1,33000,2,6,6,1567,2245
996,2,5,2,3,3,-4,1,75000,1,1,8,5,3,3,3,1,1,80000,1,3,7,1664,1472
997,1,5,3,3,2,-4,1,58000,3,4,7,5,3,3,2,-4,1,16000,2,6,7,480,1912
998,1,3,3,2,2,-4,1,13000,1,1,8,3,3,2,2,-4,1,-4,1,4,8,0,0
999,1,4,2,2,1,0,1,20000,3,6,7,4,2,2,2,0,1,20000,2,4,5,1201,766
1000,1,4,5,2,2,-4,1,-4,2,4,10,4,1,2,2,-4,1,-4,3,3,6,0,0
1001,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,260,265
1002,1,3,5,2,2,-4,1,-4,1,4,6,9,3,2,2,-4,1,-2,2,4,5,690,501
1003,2,4,4,2,3,2,1,80000,3,4,4,4,4,2,3,2,1,90000,4,6,5,3526,2456
1004,1,4,4,2,2,-4,1,-2,4,2,8,4,5,2,2,-4,1,25000,2,3,8,2080,2140
1005,1,2,6,1,2,-4,1,-4,4,6,6,2,6,1,2,-4,1,-4,4,3,4,0,728
1006,1,3,6,2,2,-4,1,-2,2,3,6,3,6,2,2,-4,1,-2,4,4,6,2204,1550
1007,1,6,2,4,1,-4,1,56000,1,6,6,6,2,4,1,-4,1,61000,3,6,6,2340,2433
1008,2,4,3,2,2,-4,1,-2,5,6,7,4,4,2,1,-4,0,-4,5,6,6,0,0
1009,1,9,6,2,3,2,1,48000,3,5,7,10,6,2,3,2,1,48000,3,6,6,0,0
1010,2,5,4,3,3,2,1,-4,3,3,7,5,4,3,3,2,1,22623,3,2,6,2084,2272
1011,1,6,2,4,3,-4,1,-2,2,6,6,6,2,4,3,-4,1,29000,2,6,6,2080,2080
1012,1,3,2,2,3,-4,1,42000,2,6,7,3,2,2,3,-4,1,45000,2,6,7,2080,2120
1013,1,11,1,4,2,-4,1,-4,2,3,6,7,2,7,3,-4,1,-4,2,4,7,0,935
1014,1,5,4,3,2,-4,1,-4,2,4,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,550,-3
1015,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1016,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1924,1961
1017,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,2120
1018,1,4,4,2,3,2,1,-4,2,6,9,4,4,2,3,2,1,-4,3,6,8,0,1760
1019,1,6,5,4,2,-4,0,48000,1,5,6,6,5,4,2,-4,0,64000,1,6,5,2985,1705
1020,1,6,2,4,1,-4,1,130254,2,6,6,6,2,4,3,-4,1,146002,3,6,6,-3,2536
1021,2,11,2,4,1,-4,1,42000,1,6,7,11,2,4,3,-4,1,20000,1,6,7,1004,0
1022,2,11,2,4,1,-4,1,4000,2,5,7,7,2,5,1,-4,1,27000,2,6,7,2000,2120
1023,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1024,2,7,1,5,2,-4,1,65000,4,6,9,7,1,5,2,-4,1,65000,5,6,9,1896,1000
1025,1,6,3,4,2,-4,0,2000,3,6,6,6,3,4,2,-4,1,15000,2,6,6,632,3234
1026,1,3,2,2,7,0,1,30000,1,2,6,3,3,2,7,1,1,-4,1,2,8,960,0
1027,1,3,4,2,2,-4,1,-2,3,2,8,3,4,2,2,-4,1,-4,3,2,8,-3,0
1028,1,3,1,2,2,-4,1,-2,1,3,8,3,5,2,2,-4,1,-2,1,2,8,0,1320
1029,2,3,4,2,7,2,1,19000,2,4,6,3,4,2,7,2,1,21000,2,3,6,1498,1856
1030,1,4,2,2,7,-4,1,-1,2,6,6,4,3,2,7,-4,1,-1,2,6,8,1656,1365
1031,1,10,5,3,3,3,1,36000,2,6,6,5,5,3,3,3,1,31000,2,6,6,2058,2190
1032,1,6,1,4,2,-4,1,23000,1,6,7,6,2,4,2,-4,1,16000,1,6,7,2080,2120
1033,2,3,4,2,2,2,1,800,3,5,5,3,4,2,2,2,1,5000,4,3,5,312,320
1034,1,2,1,1,2,-4,1,-4,1,1,4,2,1,1,2,-4,1,-2,1,2,5,-3,0
1035,2,4,5,2,2,2,1,21000,2,6,7,4,5,2,2,2,1,24000,2,6,6,734,2254
1036,1,3,5,2,2,-4,1,-4,3,1,6,3,5,2,2,-4,1,-1,3,3,8,2184,-3
1037,1,1,5,0,1,3,1,-4,2,1,8,1,5,0,1,3,1,-4,3,1,6,0,0
1038,1,1,6,0,2,0,1,17063,4,2,8,1,7,0,2,0,1,-2,2,3,8,1892,2133
1039,2,-3,1,2,2,0,1,-4,4,4,4,3,3,2,2,2,1,-4,3,3,3,552,3592
1040,2,5,3,3,2,2,1,50000,2,6,4,5,3,3,2,2,1,48000,2,6,4,3514,3675
1041,1,1,6,0,2,0,1,-4,2,6,7,1,6,0,2,0,1,-4,4,1,4,0,0
1042,2,4,2,2,2,1,1,-2,3,1,3,9,3,2,2,1,1,-4,4,3,6,680,200
1043,2,10,3,3,3,1,1,-4,3,5,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0
1044,1,3,2,2,2,0,1,-4,3,1,7,3,2,2,2,0,1,9000,2,2,5,610,660
1045,2,4,2,1,2,1,1,1300,3,3,7,4,2,1,2,1,1,-2,3,4,8,1560,1110
1046,1,2,2,1,1,-4,1,14400,2,5,8,2,1,1,2,-4,1,-2,3,6,7,120,2400
1047,2,5,5,3,6,4,1,20000,1,6,7,5,5,3,6,4,1,-2,3,6,5,2114,3035
1048,2,4,3,2,2,1,1,14000,4,1,5,4,3,2,2,1,1,5000,4,2,6,2020,1680
1049,1,1,4,0,1,1,1,21000,3,6,6,1,4,0,1,1,1,25500,3,6,6,2128,2514
1050,2,3,2,2,2,1,1,-1,4,1,8,3,2,2,2,1,1,-2,4,-2,8,880,0
1051,1,2,1,1,2,0,1,-4,2,4,6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,120
1052,2,4,4,2,2,2,1,-4,4,1,6,4,4,2,2,2,1,-4,3,3,8,0,0
1053,1,-3,3,2,2,-4,1,34000,3,6,6,4,3,2,2,-4,1,35000,3,6,6,2080,2120
1054,2,2,4,1,2,3,1,-4,1,4,8,2,4,1,2,3,1,-4,3,2,10,0,520
1055,2,9,4,2,3,1,1,6000,3,2,8,9,4,2,3,3,1,13000,4,3,8,1710,912
1056,2,3,5,2,2,3,1,3200,3,2,8,3,4,2,2,3,1,26000,3,4,8,1650,2084
1057,2,3,5,2,1,3,1,-4,2,4,6,3,5,2,1,3,1,2000,2,6,6,128,1678
1058,1,2,2,1,2,0,1,-4,3,4,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0
1059,1,4,1,2,2,-4,1,-2,2,6,5,4,2,2,2,-4,1,-4,2,6,4,40,1120
1060,2,4,2,2,2,-4,1,42000,4,4,6,4,3,2,2,-4,1,-2,3,6,6,2381,2385
1061,2,4,3,2,2,-4,1,-4,2,4,6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,390,2345
1062,1,3,1,2,2,-4,1,21000,4,3,4,3,3,2,1,-4,1,-1,3,1,4,1320,1104
1063,1,4,1,2,2,0,0,-4,1,4,7,4,1,2,2,0,0,-4,2,3,6,0,0
1064,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1065,1,4,1,2,2,1,1,30000,3,3,8,4,1,2,2,0,1,27000,4,2,8,2080,2056
1066,2,4,6,2,2,-4,1,20000,4,4,5,4,6,2,2,-4,1,20000,5,4,4,2290,2345
1067,2,4,6,2,3,3,1,-4,3,4,6,4,7,2,3,3,1,-4,3,6,6,0,0
1068,1,1,4,0,1,1,1,22000,3,6,8,1,5,0,2,0,1,35000,2,6,9,2080,2120
1069,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1070,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,11,2,4,2,1,0,47000,2,6,6,2340,2340
1071,1,4,3,1,1,1,1,-4,2,5,7,4,3,1,3,1,1,-4,3,6,6,0,800
1072,1,4,6,2,3,2,1,-1,2,6,7,4,6,2,3,2,1,-1,1,6,6,-3,495
1073,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1074,1,7,1,5,2,-4,1,85000,1,6,7,11,1,5,2,-4,1,80000,1,6,7,0,0
1075,2,11,4,5,3,2,1,38000,2,6,8,11,4,5,3,2,1,45000,2,6,7,1976,1953
1076,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1077,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2080,2120
1078,1,9,4,2,2,-4,1,12000,1,5,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1990,1320
1079,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1080,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1820,1855
1081,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,11,2,4,2,-4,1,27500,2,6,7,-3,-3
1082,2,7,1,5,2,-4,1,30000,1,6,7,7,1,5,2,-4,1,33000,1,6,7,1359,1364
1083,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2600,2650
1084,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,6,2,4,2,1,1,43000,3,6,8,2080,2120
1085,1,4,2,2,3,-4,1,36000,1,6,5,4,2,2,3,-4,1,36000,2,6,6,-3,2240
1086,1,6,2,4,1,-4,1,48000,3,6,7,6,2,4,1,-4,1,-2,2,5,7,2080,545
1087,2,7,4,5,3,2,1,52000,2,4,5,7,4,5,3,2,1,53000,2,4,6,1600,2120
1088,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1089,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1090,1,4,4,2,3,2,0,82000,2,3,7,4,4,2,3,2,0,75000,2,3,6,546,2226
1091,2,4,2,2,3,-4,1,35000,2,6,7,4,2,2,3,-4,1,33000,2,6,6,2080,1685
1092,2,11,2,4,1,-4,1,65000,3,5,6,7,2,5,3,-4,1,75000,3,6,7,2080,2120
1093,1,5,3,3,2,-4,1,25000,3,6,6,5,3,3,2,-4,1,15000,3,6,6,1548,2333
1094,1,4,4,2,2,-4,1,-4,3,3,8,4,4,2,2,-4,1,1000,4,6,10,0,126
1095,1,11,2,2,3,-4,1,12000,3,6,7,7,3,5,3,1,1,32000,2,6,5,275,1894
1096,2,2,5,1,2,-4,1,12000,1,3,8,2,5,1,2,-4,1,10000,1,5,6,3744,2216
1097,1,3,2,2,1,0,0,-4,1,5,7,3,2,2,1,0,0,-4,1,1,9,0,0
1098,2,5,3,3,1,1,1,19000,2,4,7,5,3,3,1,1,1,-2,2,4,5,1490,180
1099,2,4,4,1,1,2,1,-4,3,6,8,4,4,1,1,2,1,-4,1,3,8,0,0
1100,2,4,3,2,1,2,1,2500,2,3,8,4,5,2,1,3,1,-4,2,3,6,0,0
1101,2,1,3,0,1,1,1,-4,4,2,-2,1,10,0,1,1,1,-2,2,2,5,734,1240
1102,2,1,2,0,2,1,1,-4,3,1,7,8,3,0,2,2,1,-4,2,2,6,0,359
1103,2,3,3,2,1,1,1,-4,2,3,6,3,3,2,1,1,1,-4,4,1,4,1848,0
1104,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,4,2,3,2,1,15000,1,4,8,810,1060
1105,2,3,3,2,2,-4,1,-2,1,6,8,3,3,2,2,-4,1,-2,2,4,9,1613,1609
1106,1,1,2,0,2,-4,1,-4,3,1,7,1,1,0,2,-4,1,-4,3,3,7,0,-3
1107,2,1,3,0,1,0,1,-4,4,4,5,1,3,0,1,0,1,-4,4,2,8,0,0
1108,1,7,3,5,3,1,1,51000,3,4,6,7,3,5,3,1,1,52000,3,6,6,1732,2757
1109,2,7,2,5,3,-4,1,46000,1,6,8,7,3,5,3,1,1,46000,1,3,7,1912,348
1110,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2080,2160
1111,1,9,2,1,2,-4,1,-4,3,5,5,5,2,3,2,-4,1,-4,3,3,4,0,0
1112,1,6,4,4,3,-4,0,45000,3,6,8,6,4,4,3,-4,0,50000,2,6,8,1760,2120
1113,1,6,2,4,1,-4,1,130254,1,6,5,6,2,4,1,-4,1,84000,3,3,6,3010,2650
1114,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,448
1115,1,4,3,1,3,1,1,-2,2,5,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2080,480
1116,2,7,4,5,3,1,1,61000,1,6,5,7,4,5,3,1,1,75000,1,6,5,2475,2781
1117,1,5,4,3,2,-4,1,45000,1,5,8,5,3,3,2,-4,0,55000,1,6,7,-3,-3
1118,2,11,2,4,1,-4,1,14000,3,6,7,7,1,5,2,-4,1,20000,2,6,7,1450,2026
1119,2,7,1,5,2,-4,1,15000,4,6,5,7,1,5,2,-4,1,28500,3,6,6,1975,2120
1120,2,7,2,7,3,-4,1,130254,1,6,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2080,40
1121,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1122,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1050,-4
1123,2,10,3,4,2,-4,1,30000,2,6,7,11,2,4,1,-4,1,35000,2,6,7,2207,1674
1124,1,1,3,0,2,-4,1,-2,3,1,7,1,3,0,2,-4,1,-2,4,1,8,423,860
1125,1,3,2,2,1,-4,1,25000,1,6,10,3,2,2,2,-4,1,9000,2,6,8,2340,2103
1126,1,7,4,5,3,2,1,-1,2,6,5,11,4,5,3,2,1,76000,2,6,7,2080,2120
1127,2,4,3,2,2,2,1,-4,4,6,7,4,3,2,2,2,1,-4,3,3,6,0,0
1128,2,4,4,2,2,-4,0,3000,2,6,7,4,4,2,2,-4,0,-2,1,6,7,1430,1130
1129,1,9,3,2,3,1,1,48000,3,6,7,9,3,2,3,1,1,-4,3,6,9,0,0
1130,1,3,4,2,2,-4,1,14000,2,6,8,3,2,2,2,-4,1,2000,2,6,7,920,1927
1131,1,5,2,3,2,-4,1,25000,2,6,6,5,2,3,2,-4,1,27000,1,6,6,1299,2141
1132,2,3,3,2,3,1,1,20000,1,5,6,3,3,2,3,1,1,-4,1,3,5,0,0
1133,2,5,5,3,3,3,1,-4,1,6,9,5,5,3,3,3,1,-4,1,4,9,0,0
